Name,County,Acres,Start Date,Containment Date
Interstate 5,Kings,2060,5/3,5/7
Range,San Luis Obispo,5000,5/27,5/28
Scorpion,Santa Barbara,1395,5/31,6/1
Quail,Solano,1837,6/6,6/10
Wood,San Diego,11000,6/8,6/12
India,San Diego,1100,6/8,6/14
Soda,San Luis Obispo,1672,6/10,6/11
Grant,Sacramento,5042,6/12,6/17
Walker,Calaveras,1455,6/16,6/20
Grade,Tulare,1050,6/22,6/26
Pass,Merced,2192,6/28,6/30
Brena,Kern,2900,7/1,7/3
Crews,Santa Clara,5513,7/5,7/13
Soledad,Los Angeles,1525,7/5,7/15
Mineral,Fresno,29667,7/13,7/26
Coyote,San Benito,1508,7/15,7/18
Hog,Lassen,9564,7/18,8/8
Gold,Lassen,22634,7/20,8/8
July Complex 2020,"Modoc, Siskiyou",83261,7/22,8/7
Blue Jay,"Mariposa, Tuolumne",6922,7/24,11/20
Red Salmon Complex,"Humboldt, Siskiyou, Trinity",144698,7/26,11/17
Branch,San Luis Obispo,3022,7/28,8/1
Apple,Riverside,33424,7/31,11/18
Pond,San Luis Obispo,1962,8/1,8/8
North,Lassen,6882,8/2,8/10
Stagecoach,Kern,7760,8/3,8/16
Wolf,Tuolumne,2057,8/11,11/19
Lake,Los Angeles,31089,8/12,9/28
Ranch 2,Los Angeles,4237,8/13,10/5
Hills,Fresno,2121,8/15,8/24
Loyalton,"Lassen, Plumas, Sierra",47029,8/15,9/14
Beach,Mono,3780,8/16,8/28
River,Monterey,48088,8/16,9/4
Dome,San Bernardino,43273,8/16,9/14
CZU Lightning Complex,"San Mateo, Santa Cruz",86509,8/16,9/22
SCU Lightning Complex,"Santa Clara, Alameda, Contra Costa, San Joaquin, Merced, Stanislaus",396624,8/16,10/1
August Complex,"Glenn, Mendocino, Lake, Tehama, Trinity, Shasta",1032648,8/16,11/12
Rattlesnake,Tulare,8419,8/16,12/29
LNU Lightning Complex,"Colusa, Lake, Napa, Sonoma, Solano, Yolo",363220,8/17,10/2
Holser,Ventura,3000,8/17,9/6
Butte/Tehama/Glenn Lightning Complex (Butte Zone),Butte,19609,8/17,10/17
North Complex,"Plumas, Butte",318935,8/17,12/3
Jones,Nevada,705,8/17,8/28
Sheep,"Plumas, Lassen",29570,8/17,9/9
Salt,Calaveras,1789,8/18,8/24
W-5 Cold Springs,"Lassen, Modoc",84817,8/18,9/14
Carmel,Monterey,6905,8/18,9/4
Dolan,Monterey,124924,8/18,12/31
Woodward,Marin,4929,8/19,10/2
SQF Lightning Complex,Tulare,174178,8/19,1/5
Moc,Tuolumne,2857,8/20,8/30
Moraine,"Fresno, Tulare",1316,8/21,12/29
Slink,"Alpine, Mono",26759,8/29,11/8
Creek,"Fresno, Madera",379895,9/4,12/24
El Dorado,"San Bernardino, Riverside",22744,9/5,11/16
Valley,San Diego,16390,9/5,9/24
Bobcat,Los Angeles,115997,9/6,12/18
Oak,Mendocino,1100,9/7,9/14
Slater / Devil,"Siskiyou, Del Norte",166127,9/7,11/16
Fork,El Dorado,1673,9/8,11/9
Bullfrog,Fresno,1185,9/9,11/9
Willow,Yuba,1311,9/9,9/14
Fox,Siskiyou,2188,9/14,9/29
Snow,Riverside,6254,9/17,10/6
Glass,"Napa, Sonoma",67484,9/27,10/20
Zogg,Shasta,56338,9/27,10/13
Coleman,Monterey,1500,10/18,12/15
Silverado,Orange,12466,10/26,11/7
Blue Ridge,"Orange, San Bernardino, Riverside",13694,10/26,11/7
Laura 2,Lassen,2800,11/17,11/24
Mountain View,"Mono, Alpine",20385,11/17,12/11
Airport,Riverside,1087,12/1,12/12
Bond,Orange,6686,12/2,12/10
Sanderson,Riverside,1933,12/13,12/14
Creek 5,San Diego,4276,12/23,12/31